File Format,Version,Type,Creator,Extension,Has RF,Has DF,RF Contents,Notes
Adobe PDF,,PDF ,CARO,pdf,No,Yes,,
Adobe Persuasion,3,PRS3,PLP3,,Yes,Yes,"Background Graphics, Metadata, Font Info, other",
Adobe Persuasion,4,PRS4,TALO,,Yes,Yes,"Background Graphics, Metadata, Font Info, other",
Adobe PhotoDeluxe,1,8BPS,PHUT,,Yes,Yes,"Icons, Thumbnail, Metadata",
Aldus Personal Press/Home Publisher,2,SCPD,SCPG,,Yes,Yes,Empty,
Aldus Persuasion,1,PRS1,PLP1,,Yes,Yes,"Background Graphics, Metadata, Font Info, other",
Aldus Persuasion,2,PRS2,PLP2,,Yes,Yes,"Background Graphics, Metadata, Font Info, other",
AppleWorks WP,6,CWWP,BOBO,cwk,Yes,Yes,"Metadata, Text Strings, Thumbnails",
Astound,2,DCDC,GDSP,asd,Yes,Yes,,
Audio Interchange File Format,,AIFF,jB•x,aif,No,Yes,,Could have many different Creators
Avery MacLabel Pro,,MLPd,MLP*,,Yes,No,Entire File,
BBEdit,3.5,TEXT,R*ch,,Yes,Yes,Font / Formatting information,
BeagleWorks/WordPerfect Works WP,1,BWwp,BWks,,Yes,Yes,"App String, metadata",
BinHqx,4,TEXT,BNHQ,hqx,No,Yes,,
Bryce 3D,1,BFil,Bry3,,No,Yes,,
Canvas,2-3,drw2,DAD2,,Yes,Yes,"Small amount of unknown info, User info",
Canvas Illustration,5,drw5,DAD5,cv5,Yes,Yes,Icons & Previews,
Canvas Illustration,7,drw7,DAD7,cnv,Yes,Yes,Icons & Previews,
Canvas Image,5,VINF,DAD5,cvi,No,Yes,,
ClarisWorks WP,4,CWWP,BOBO,cwk,Yes,Yes,"Metadata, Text Strings, Thumbnails",
CompactPro,1,PACT,CPCT,cpt,No,Yes,,
Corel Photo-Paint,8,CPT8,Cpnt,,No,Yes,,
CorelDraw,8,CDR8,Cdrw,,Yes,Yes,Small amount of unknown info,
Deneba artWorks,1,artW,DAD3,,Yes,Yes,Same as Canvas format,
Deneba UltraPaint,1,UPNT,ULTR,,Yes,Yes,Unknown,
Digital Performer,2,PERF,MOUP,,Yes,Yes,Metadata,
Director,,MV93,MD93,dir,No,Yes,,
Disk Image (Read Only),,rohd,ddsk,img,Yes,Yes,"Disk Title, Metadata, CRC Checksum",
DiskCopy Disk Image,6,dimg,ddsk,img,Yes,Yes,Metadata,
DiskDoubler,AD2,DD01,DDAP,,No,Yes,,
DiskDoubler,DD2,DD01,DDAP,,No,Yes,,
DiskDoubler,DD1,DDF3,DDAP,,No,Yes,,
DiskDoubler,AD1,DDFL,DDAP,,No,Yes,,
Electric Image Model,2.5,FACT,EIAM,fact,Yes,Yes,"Small Amount of Metadata, Version info",
Endnote,4,ENDB,ENDN,,No,Yes,,
FileMaker Pro,3,FMP3,FMP3,fm3,No,Yes,,
FileMaker Pro,2,FMPR,FMPR,,No,Yes,,
Final Cut Pro,,FCPF,KeyG,,No,Yes,,
Finale,3,FIN3,FIN3,,Yes,Yes,Unknown,
Finale,2,NGMA,FINL,,No,Yes,,
Fireworks,1-4,PNGf,MKBY,png,No,Yes,,
Fontographer Font File,3,aCf2,aCa2,,Yes,No,All Font data,
Fontographer Font File,4,Fgdb,Fog4,fog,Yes,Yes,Small amount of metadata,
Freehand,1,acf3,aca3,,No,Yes,,
Freehand,4,AGD1,FH40,fh4,Yes,Yes,Metadata,
Freehand,5,AGD1,FH50,fh5,Yes,Yes,Metadata,
Freehand,2,FHD2,FHA2,,No,Yes,,
Freehand,3,FHD3,FHA3,,No,Yes,,
Full Impact Spreadsheet,,FI2d,FIv2,,Yes,Yes,"Special Characters, other resources",
GraphicConverter PNG,4,PNGf,GKON,png,Yes,Yes,"Icons, Thumbnails, Metadata",
HyperCard,2,STAK,WILD,,Yes,Yes,"Graphics, Fonts, Sounds",
Illustrator 5.5 EPS,,EPSF,ART5,eps,Yes,Yes,"Thumbnails, metadata, page information, many resources",
Illustrator 88 EPS,2,EPSF,ARTZ,eps,Yes,Yes,"Thumbnails, metadata, page information, many resources",
Illustrator Document,3,TEXT,ART3,,Yes,Yes,Page Preferences,
Illustrator Document,8,TEXT,ART5,ai,Yes,Yes,"Page Information, thumbnails, version info",
Illustrator EPS,3,EPSF,ART3,eps,Yes,Yes,"Thumbnail, Page Information",
Infini-D,4,SCN4,SI∞D,ids,Yes,Yes,Simple Software Title String and Version info,
KeyCad,1,KEYS,KCAD,,No,Yes,,
M.Y.O.B.,7,DATA,MYOB,,No,Yes,,
MacBinary,1,TEXT,GJBU,bin,No,Yes,,
MacBinary,,TEXT,SITx,bin,No,Yes,,
MacCalc,1.2,MCLC,MCLC,,No,Yes,,
MacDraw II,1,DRWG,MDPL,,Yes,Yes,,
MacDraw Pro,,dDoc,dPro,,Yes,Yes,"Colors, Fonts, Styles, Metadata",
MacPaint,,PNTG,MPNT,,No,Yes,,
Macromind Director,3,VWMD,MMDR,dir,Yes,No,All content in RF,
MacWrite II,1,MW2D,MWII,,No,Yes,,
Microsoft Excel,1,XLBN,XCEL,,No,Yes,,
Microsoft Excel,2,XLS ,XCEL,,No,Yes,,
Microsoft Excel,8,XLS8,XCEL,,No,Yes,,
Microsoft Multiplan,1,MPBN,PLAN,,No,Yes,,
Microsoft Powerpoint,4,SLD3,PPT3,ppt,Yes,Yes,Slide Graphics/Media,
Microsoft Word,6,W6BN,MSWD,doc,No,Yes,,
Microsoft Word,5,WDBN,MSWD,doc,No,Yes,,
Microsoft Works DB,4,AWDB,MSWK,,Yes,Yes,Simple Microsoft Works String,
Microsoft Works DR,4,AWDR,MSWK,,Yes,Yes,Simple Microsoft Works String,
Microsoft Works SS,4,AWSS,MSWK,,Yes,Yes,Simple Microsoft Works String,
Microsoft Works WP,3,AWWP,MSWK,,Yes,Yes,Simple Microsoft Works String,
Microsoft Works WP,4,RLRB,MSWK,,Yes,Yes,Simple Microsoft Works String,
MiniCAD,,MC7d,CDP3,mcd,No,Yes,,
Multi-Ad Creator,4,MuAd,Cr40,,Yes,Yes,Quite a bit of Data,
Nisus Writer,5,TEXT,NISI,,Yes,Yes,"All Formatting, Fonts, Graphics, Etc",
Norton Backup File,2,Tjcf,PNnb,,No,Yes,,
Norton Backup Index,2,Tjci,PNnb,,Yes,No,All Data includes file list,
Notewriter,2.9,MUSF,MUSS,,No,Yes,,
Pagemaker,6.5,AB65,ADPM,p65,No,Yes,,
Pagemaker,4,ALB4,ALD4,pm4,No,Yes,,
Pagemaker,5,ALB5,ALD5,pm5,No,Yes,,
Pagemaker,6,ALB6,ALD6,pm6,No,Yes,,
Pagemaker,3,ALT3,ALD3,pm3,No,Yes,,
Pagemaker,1,PBFT,ALDU,,Yes,No,All in RF,
Pagemaker,7,PMD ,ADPM,pmd,No,Yes,,
Pagemaker,2,PUBF,ALD2,,No,Yes,,
Painter RIFF,1,RIFF,FSP3,rif,Yes,Yes,"Thumbnail, unknown data",
Painter RIFF,5,RIFF,FSX3,rif,Yes,Yes,"Thumbnail, unknown data",
PaperPort MAX Document,2,MAXD,MAXm,,Yes,Yes,Unknown,
Photoshop document,3,8BPS,8BIM,,Yes,Yes,"Icons, previews, metadata",
Photoshop PNG,4,PNGf,8BIM,png,Yes,Yes,"Icons, Thumbnails, metadata",
Photoshop TIFF,6,TIFF,8BIM,tif,Yes,Yes,"Icons, Thumbnails, metadata",
Pict image,,PICT,8BIM,"pict, pic",Yes,Yes,,
PixelPaint,3,PX11,PPP3,,Yes,Yes,Single small resource,
Powerpoint,1,SLDS,PPNT,,No,Yes,,
PrintShop Deluxe,1,pDOC,Pana,,No,Yes,,
ProTools,3,Pses,PTul,pt3,Yes,No,Entire File,
ProTools,4,PT24,PTul,p24,Yes,No,Entire File,
ProTools,4,PT4S,PTul,pt4,Yes,No,Entire File,
ProTools,5,PT5S,PTul,pt5,Yes,No,Entire File,
PublishIt Easy,,SPUB,2CTY,,Yes,Yes,Small amount of unknown info,
QuarkXPress,2,XDOC,XPRS,,No,Yes,,
QuarkXPress,3,XDOC,XPR3,,No,Yes,,
QuarkXPress,4,XDOC,XPR3,,Yes,Yes,"Document Size, embeded PICTs, metadata",
Quicklink,,Qfax,QLVW,fax,No,Yes,,
Quicktime Movie,,MooV,TVOD,mov,Yes,Yes,"Title, Metadata, can include entire Moov Atom",
Ragtime,5,C#+D,C#+A,,No,Yes,,
Ragtime,2,F#+D,F#+A,,Yes,Yes,Small amount,
Ragtime,3,R#+D,R#+A,,Yes,Yes,Small amount,
"Ready, Set, Go!",4.5,RSGR,MEMR,,No,Yes,,
Retrospect,6,Wrp2,Pery,,Yes,Yes,"Icons, Version info",
Reunion Family File,7,R~D7,R~U7,,No,Yes,,
Self Extracting Archive,,APPL,aust,sea,Yes,Yes,"Application Code, Dialog boxes, Icons, Warnings, errors, metadata",
SimpleText,,TEXT,ttxt,,Yes,Yes,"Sounds, Styles",
Sound Designer II,,Sd2f,Sd2a,sd2,Yes,Yes,Audio metadata,
Sound Designer II Quicktime,,Sd2f,TVOD,sd2,Yes,Yes,Audio metadata,
Strata 3D,2,SPmd,SPro,s3d,Yes,Yes,Simple Software Title String,
Strata 3D,1,VisM,Vis4,,Yes,Yes,Many resources,
Stuffit,1.5,SIT!,SIT!,sit,No,Yes,,
Stuffit,5,SIT5,SIT!,sit,No,Yes,,
Stuffit,3.5,SITD,SIT!,sit,Yes,Yes,"One unknown resource ""Setg""",
Stuffit HQX,,TEXT,SITx,hqx,No,Yes,,
Stuffit Self Extracting Archive,3.5,APPL,aust,sea,Yes,Yes,All data and application code.,
SuperPaint,3,SPn3,SPNT,,Yes,Yes,"Patterns, Brushes, other important resources.",
System 7 Sound,,sfil,movr,,Yes,No,Entire File,
System Font,,FFIL,DMOV,,Yes,No,Entire File,
Text Clipping,,clpt,drag,,Yes,No,Clipped Text and style information.,
The Writing Center,1,"
WP1","
WP",,Yes,Yes,Simple Data String,
Toast Image,4,CrTC,CDr3,,Yes,Yes,"Metadata, Disc title",
Toast Image,5,hImg,CDr3,,No,Yes,,
Ventura Publisher,3,VCHP,VPUB,,Yes,Yes,Chapter Info,
WordPerfect,2,WPD2,WPC2,,Yes,Yes,"Metadata, Font Information",
WordPerfect,3,WPD3,WPC2,,No,Yes,,
WordPerfect,1,WPDC,SSIW,,Yes,Yes,PtPt resource,
WriteNow,4,nX^2,nX^n,,No,Yes,,